,0,1,2,3,4,5
0,0,0,0,0,0,-12
1,0,0,0,0,0,-11
2,104,16,62,15,59,-10
3,108,17,73,15,67,-9
4,1208,224,720,18,59,-8
5,598,104,361,17,60,-7
6,1931,357,1191,18,61,-6
7,4571,762,2895,16,63,-5
8,497,78,299,15,60,-4
9,23,1,19,4,82,-3
10,0,0,0,0,0,-2
11,0,0,0,0,0,-1
12,195,32,114,16,58,0
13,99,14,51,14,51,1
14,0,0,0,0,0,2
15,0,0,0,0,0,3
16,23,10,0,43,0,4
17,0,0,0,0,0,5
18,0,0,0,0,0,6
19,0,0,0,0,0,7
20,0,0,0,0,0,8
21,0,0,0,0,0,9
22,107,8,15,7,14,10
23,0,0,0,0,0,11
24,0,0,0,0,0,12
